1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,0,0,0,0.833333333,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0.888888889,0,0
0,0,0,0,0,0,0,0,0,0.888888889,0,0.777777778,0
0,0,0,0,0,0,0,0,0,0,0.777777778,0,0.722222222
0,0,0.722222222,0,0,0,0,0,0,0,0,0.722222222,0
0,0,0,0,0.4,0,0,0,0,0,0,0,0
0,0,0,0.9,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.9,0,0,0,0,0,0,0,0,0,0,0
0.4,0,0,0,0,0.4,0,0.4,0,0,0,0,0
0,0,0,0,0.4,0,0.5,0,0.5,0,0,0,0
