M1_Waiting,M1_Blocked,M1_Working,M1_Failed,M13_Waiting,M13_Blocked,M13_Working,M13_Failed,M11_Waiting,M11_Blocked,M11_Working,M11_Failed,M12_Waiting,M12_Blocked,M12_Working,M12_Failed,M2_Waiting,M2_Blocked,M2_Working,M2_Failed,M4_Waiting,M4_Blocked,M4_Working,M4_Failed,M6_Waiting,M6_Blocked,M6_Working,M6_Failed,M3_Waiting,M3_Blocked,M3_Working,M3_Failed,M5_Waiting,M5_Blocked,M5_Working,M5_Failed,M7_Waiting,M7_Blocked,M7_Working,M7_Failed,M8_Waiting,M8_Blocked,M8_Working,M8_Failed,M9_Waiting,M9_Blocked,M9_Working,M9_Failed,M10_Waiting,M10_Blocked,M10_Working,M10_Failed_Sum
0,0.853614394,0.508864521,0.083937012,0,0.301452618,0.697965265,0.270560755,0.695093101,0,0.291508089,0.501016914,0.817563456,0,0.330116071,0.013012261,0.276498003,0.711788438,0.370179697,0.230394798,0.334751816,0.606208163,0.433352473,0.657165299,0.392421423,0.374284155,0.473270458,0.657165299,0,0.619500347,0.297877001,0.448271416,0,0.678677914,0.400544194,0.257930498,0.38034912,0.430633829,0.414544828,0.675112255,0.513228452,0.229930252,0.414544828,0.954347617,0.627805451,0.182280726,0.423459998,0.352773123,0.696823037,0.193031489,0.452100773,0.053307786
0,0.17586175,0.575681492,0.412150581,0,0.037945735,0.966546838,0.072562075,0.152099058,0.089082247,0.592448674,0.505440423,0.491426362,0,0.498042309,0.304810537,0.458089701,0.217797437,0.706723958,0.444083864,0.48509471,0.374863303,0.68931125,0.216134253,0.363116413,0.345608761,0.711627075,0.216134253,0,0.15827418,0.537371581,0.537898719,0,0.394468468,0.584984685,0.298115188,0.401136901,0.361072723,0.622253439,0.342871827,0.416933016,0.297461622,0.622253439,0.958141813,0.380883522,0.327590472,0.59968763,0.321820024,0.455631335,0.285760257,0.599142734,0.211557815
0,0.291751818,0.62702398,0.289486952,0,0.219867524,0.326479549,0.675856262,0.332520459,0.621903559,0.529723769,0.247530289,0.490576554,0,0.358747203,0.535635179,0.273251474,0.676935401,0.389333111,0.298272335,0.227816747,0.75018076,0.405679244,0.530717936,0.283209685,0.71595645,0.436918905,0.530717936,0,0.555013709,0.479274037,0.295256774,0,0.450468951,0.529628395,0.315716074,0.217591002,0.768792922,0.368608142,0.426027762,0.242395209,0.542605465,0.368608142,0.965776968,0.306489583,0.577310884,0.416432247,0.333090199,0.358680371,0.702555393,0.374612328,0.128231429
0,0.248071784,0.68697479,0.251669568,0,0.267867983,0.74328811,0.233942191,0.307534743,0.170904929,0.622581916,0.348385273,0.379727632,0,0.64993218,0.249360903,0.180694313,0.571402892,0.634255273,0.173340013,0.122488113,0.665652584,0.597031324,0.537100267,0.193452776,0.53381623,0.63816292,0.537100267,0,0.312732037,0.573201672,0.378017115,0,0.441504961,0.758665341,0.017402088,0.198401552,0.612813838,0.599761812,0.349666881,0.173945789,0.598396992,0.599761812,0.969130974,0.153491618,0.452786764,0.62228443,0.536878649,0.286829937,0.214306565,0.623280916,0.733235045
0,0.268550184,0.576142652,0.357068102,0,0.034080461,0.547476558,0.503792259,0.155659775,0.348640727,0.466140147,0.525370402,0.366235262,0,0.535531211,0.461227543,0.355427294,0.328708228,0.536893885,0.818688023,0.543410811,0.504395654,0.491355826,0.205420104,0.464373846,0.525522628,0.509943282,0.205420104,0,0.345624115,0.403632356,0.542295073,0,0.365371255,0.545214074,0.380947731,0.359976933,0.520189942,0.511142811,0.319828126,0.341523889,0.481160729,0.511142811,0.971710312,0.275994472,0.57493749,0.50155961,0.261803652,0.29493623,0.606549381,0.546032506,0.132483803
0,0.022245468,0.269573683,0.826999594,0,0.15473908,0.624210658,0.389486318,0.081744013,0.114317652,0.817762592,0.318285567,0.349397194,0,0.730997968,0.16873899,0.577605316,0.169664143,0.72529162,0.254095324,0.455428716,0.274475853,0.737996535,0.528312593,0.474699135,0.243580447,0.757953576,0.528312593,0,0.172465248,0.795543637,0.237942534,0,0.237086487,0.72680104,0.26711099,0.362566393,0.466461146,0.692727276,0.054498419,0.272422273,0.449940909,0.692727276,0.973528751,0.246127872,0.445742077,0.704506274,0.221833362,0.271175815,0.308840469,0.68620949,0.472287576
0,0.201971387,0.68528387,0.280597554,0,0.374857313,0.726312806,0.219837934,0.123712531,0.210565464,0.667408123,0.402009563,0.310893851,0,0.566791604,0.506188966,0,0.67358728,0.485959723,0.707784653,0.397063792,0.490524957,0.519769084,0.61619484,0.467016133,0.528106703,0.502637892,0.61619484,0,0.493713578,0.766255912,0.02159842,0,0.152179415,0.349273725,0.85974359,0.344345921,0.609479287,0.495955725,0.187796852,0.320412984,0.58517976,0.495955725,0.975168397,0.230626836,0.515925019,0.50867511,0.449558604,0.344231854,0.550986168,0.533896099,0.13303611
0,0.083387556,0.720588235,0.312993457,0,0.096697249,0.901408351,0.122101609,0.096265663,0,0.842474824,0.32987864,0.319917675,0,0.7476635,0.192666856,0.190104512,0.351549842,0.857035013,0.235974022,0.560572122,0.181359547,0.860449387,0.147287196,0.474623064,0.116033363,0.845666009,0.147287196,0,0.302688038,0.859857316,0.064975485,0,0,0.467790666,0.854742511,0.352321219,0.272364491,0.775058633,0.355292196,0.286862985,0.232671822,0.775058633,0.978554618,0.367702916,0.173734795,0.803145557,0.289993641,0.378331502,0.117880938,0.797281755,0.332162409
0,0.177762656,0.30995081,0.692646954,0,0.016693631,0.474524198,0.583786447,0.181168513,0.354880882,0.259160946,0.70984006,0.658708821,0,0.391781544,0.188280999,0.400035377,0.654599792,0.392636082,0.049136102,0.299549486,0.794635523,0.38846274,0.196417806,0.253993616,0.626492874,0.42443465,0.196417806,0,0.531340583,0.517422262,0.270918704,0,0.579299614,0.431532529,0.316947412,0.226404994,0.667356211,0.377588916,0.617206679,0.310567753,0.645692714,0.377588916,0.983073288,0.350484367,0.642440578,0.415551942,0.127150138,0.297567624,0.595189399,0.370889264,0.494084741
0,0.260769353,0.318149211,0.63506475,0,0.021993943,0.603361105,0.4499995,0.603559395,0.15311809,0.698751093,0.09879449,0.741220899,0,0.322590903,0.158426314,0.419705799,0.437074334,0.441599655,0.576060616,0.812246657,0.358205696,0.408621225,0.210011347,0.713924359,0.358359956,0.411897271,0.210011347,0,0.535802741,0.465639693,0.325414429,0,0.347686454,0.293877348,0.736168115,0.44078449,0.534338452,0.356277409,0.398330642,0.464341359,0.41375234,0.356277409,0.987695276,0.576888948,0.372810245,0.296536229,0.328113576,0.598907494,0.169411478,0.333527654,0.585392513
